unit,y1_lower,y1_upper,y2_lower,y2_upper,prob
4,-15.0,10.0,-5.0,0.0,0.1481782316082618
4,-15.0,10.0,0.0,20.0,0.1116268275702019
4,-15.0,10.0,20.0,120.0,0.040612671153399865
4,10.0,35.0,-18.0,-5.0,0.017985611510791366
4,10.0,35.0,-5.0,0.0,0.07716407519145974
4,10.0,35.0,0.0,20.0,0.1116268275702019
4,10.0,35.0,20.0,120.0,0.040612671153399865
4,35.0,60.0,-18.0,-5.0,0.003132977488976561
4,35.0,60.0,-5.0,0.0,0.00765838941749826
4,35.0,60.0,0.0,20.0,0.05952657229055465
4,35.0,60.0,20.0,120.0,0.14585750754235322
5,-30.0,-15.0,-20.0,-5.0,0.10096874063717169
5,-30.0,-15.0,-5.0,0.0,0.09108159392789375
5,-30.0,-15.0,0.0,60.0,0.010386497553180865
5,-15.0,5.0,-20.0,-5.0,0.10995705582742436
5,-15.0,5.0,-5.0,0.0,0.2931189453710177
5,-15.0,5.0,0.0,60.0,0.12693498452012386
5,5.0,35.0,-20.0,-5.0,0.016278837511235395
5,5.0,35.0,-5.0,0.0,0.06391690801957456
5,5.0,35.0,0.0,60.0,0.12693498452012386
5,35.0,60.0,-20.0,-5.0,0.00209727354439229
5,35.0,60.0,-5.0,0.0,0.007090781983421553
5,35.0,60.0,0.0,60.0,0.05123339658444023
6,-50.0,-20.0,-18.0,-5.0,0.028398213146139124
6,-50.0,-20.0,-5.0,0.0,0.03520527547330355
6,-50.0,-20.0,0.0,10.0,0.01542225058498192
6,-50.0,-20.0,10.0,50.0,0.0008508827908955542
6,-20.0,10.0,-18.0,-5.0,0.09614975537119762
6,-20.0,10.0,-5.0,0.0,0.2724952137843012
6,-20.0,10.0,0.0,10.0,0.0893426930440332
6,-20.0,10.0,10.0,50.0,0.018719421399702195
6,10.0,40.0,-18.0,-5.0,0.015634971282705808
6,10.0,40.0,-5.0,0.0,0.055626462454796854
6,10.0,40.0,0.0,10.0,0.08806636885768986
6,10.0,40.0,10.0,50.0,0.11997447351627313
6,40.0,80.0,-18.0,-5.0,0.002659008721548607
6,40.0,80.0,-5.0,0.0,0.00723250372261221
6,40.0,80.0,0.0,10.0,0.007870665815783877
6,40.0,80.0,10.0,50.0,0.06328440757285685
6,80.0,130.0,-18.0,-5.0,0.00021272069772388855
6,80.0,130.0,-5.0,0.0,0.0013826845352052756
6,80.0,130.0,0.0,10.0,0.0020208466283769414
6,80.0,130.0,10.0,50.0,0.00818974686236971
6,80.0,130.0,50.0,150.0,0.07126143373750267
7,-40.0,-20.0,-20.0,-5.0,0.0219079864568811
7,-40.0,-20.0,-5.0,0.0,0.03126867157936666
7,-40.0,-20.0,0.0,10.0,0.010655247958573989
7,-40.0,-20.0,10.0,50.0,0.0018920533758215495
7,-20.0,0.0,-20.0,-5.0,0.06881099382593109
7,-20.0,0.0,-5.0,0.0,0.1594303923521211
7,-20.0,0.0,0.0,10.0,0.14399522007568213
7,-20.0,0.0,10.0,50.0,0.027384983071101376
7,0.0,30.0,-20.0,-5.0,0.022903804023102967
7,0.0,30.0,-5.0,0.0,0.06243776140211114
7,0.0,30.0,0.0,10.0,0.12188807010555666
7,0.0,30.0,10.0,50.0,0.13045210117506473
7,30.0,60.0,-20.0,-5.0,0.0027882891854212307
7,30.0,60.0,-5.0,0.0,0.005676160127464649
7,30.0,60.0,0.0,10.0,0.010057757418840869
7,30.0,60.0,10.0,50.0,0.037641904003186615
7,30.0,60.0,50.0,100.0,0.14080860386377217
8,-35.0,-15.0,-15.0,-5.0,0.07010885848397083
8,-35.0,-15.0,-5.0,0.0,0.08279236991910516
8,-35.0,-15.0,0.0,40.0,0.0055927294517127725
8,-15.0,5.0,-15.0,-5.0,0.13182862279037252
8,-15.0,5.0,-5.0,0.0,0.2524717866773195
8,-15.0,5.0,0.0,40.0,0.08279236991910516
8,5.0,25.0,-15.0,-5.0,0.05193248776590432
8,5.0,25.0,-5.0,0.0,0.09957055827424348
8,5.0,25.0,0.0,40.0,0.07999600519324877
8,25.0,60.0,-15.0,-5.0,0.0013981823629281931
8,25.0,60.0,-5.0,0.0,0.015380005992210127
8,25.0,60.0,0.0,40.0,0.12483771097573154
8,25.0,60.0,50.0,100.0,0.001298312194147608
9,-45.0,-20.0,-20.0,-5.0,0.06105440584324374
9,-45.0,-20.0,-5.0,0.0,0.029778069107594344
9,-45.0,-20.0,0.0,10.0,0.007116771233261541
9,-20.0,0.0,-20.0,-5.0,0.10206948216125104
9,-20.0,0.0,-5.0,0.0,0.1993632362580766
9,-20.0,0.0,0.0,10.0,0.14467646783406685
9,-20.0,0.0,10.0,50.0,0.04991104035958423
9,0.0,30.0,-20.0,-5.0,0.018634703623934826
9,0.0,30.0,-5.0,0.0,0.04550987920217248
9,0.0,30.0,0.0,10.0,0.05655960295907857
9,0.0,30.0,10.0,50.0,0.10010300589942878
9,30.0,60.0,-20.0,-5.0,0.0021537597153291504
9,30.0,60.0,-5.0,0.0,0.0070231295065081
9,30.0,60.0,0.0,10.0,0.025751474857196366
9,30.0,60.0,10.0,50.0,0.1083434778537316
9,30.0,60.0,50.0,150.0,0.04195149358554171
10,-50.0,-30.0,-16.0,-5.0,0.013163026521060842
10,-50.0,-30.0,-5.0,0.0,0.01608814352574103
10,-50.0,-30.0,0.0,10.0,0.01608814352574103
10,-30.0,0.0,-16.0,-5.0,0.08941107644305772
10,-30.0,0.0,-5.0,0.0,0.13631045241809672
10,-30.0,0.0,0.0,10.0,0.15249609984399376
10,-30.0,0.0,10.0,30.0,0.08063572542901715
10,0.0,30.0,-16.0,-5.0,0.04836193447737909
10,0.0,30.0,-5.0,0.0,0.13192277691107643
10,0.0,30.0,0.0,10.0,0.11934477379095162
10,0.0,30.0,10.0,30.0,0.09526131045241809
10,30.0,60.0,-16.0,-5.0,0.0043876755070202805
10,30.0,60.0,-5.0,0.0,0.022035881435257407
10,30.0,60.0,0.0,10.0,0.032273790951638064
10,30.0,60.0,10.0,30.0,0.03685647425897036
10,30.0,60.0,50.0,150.0,0.005362714508580343
